state,action,next_state,SINR
"[1, 4000000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[3, 0, 1, 3, 1, 0, 0]","[1, 4000000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",3.846940040588379
"[1, 4000000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 0, 0, 3, 1, 0, 0]","[1, 4000000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-3.356178045272827
"[1, 4000000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 1, 3, 2, 0, 1, 0]","[1, 4000000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-2.4623594284057617
"[1, 4000000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[1, 2, 1, 4, 1, 1, 0]","[1, 4000000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",4.014739036560059
"[1, 4000000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 0, 3, 1, 0, 0, 0]","[1, 4000000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",14.685970306396484
"[1, 4000000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[3, 0, 1, 3, 0, 1, 0]","[1, 4000000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-3.03494930267334
"[1, 4000000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 0, 2, 4, 1, 1, 0]","[1, 4500000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-11.133099555969238
"[1, 4500000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 1, 1, 4, 1, 0, 0]","[1, 4500000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-4.330427169799805
"[1, 4500000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[1, 0, 2, 1, 1, 0, 0]","[1, 4500000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",9.34975814819336
"[1, 4500000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 1, 2, 0, 0, 1, 0]","[1, 4500000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-12.74217700958252
"[1, 4500000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[1, 4500000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",3.165884017944336
"[1, 4500000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[4, 1, 2, 1, 1, 1, 0]","[1, 4500000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-3.7074086666107178
"[1, 4500000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[3, 0, 3, 1, 1, 1, 0]","[1, 4500000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-6.199145793914795
"[1, 4500000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 0, 0, 4, 1, 1, 0]","[1, 5000000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-14.641894340515137
"[1, 5000000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[1, 2, 3, 3, 0, 1, 0]","[1, 5000000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",3.6412549018859863
"[1, 5000000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[1, 1, 3, 1, 1, 1, 0]","[1, 5000000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",8.780830383300781
"[1, 5000000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 0, 1, 0, 0, 1, 0]","[1, 5000000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",6.9101338386535645
"[1, 5000000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[3, 0, 2, 4, 0, 1, 0]","[1, 5000000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-5.884100914001465
"[1, 5000000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 1, 3, 2, 1, 1, 0]","[1, 5000000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-10.8031005859375
"[1, 5000000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[3, 1, 1, 3, 0, 1, 0]","[1, 5000000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",8.280790328979492
"[1, 5000000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[1, 2, 2, 4, 0, 1, 0]","[1, 6000000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-1.1688672304153442
"[1, 6000000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 0, 0, 2, 0, 1, 0]","[1, 6000000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",8.20638370513916
"[1, 6000000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[3, 2, 3, 4, 0, 1, 0]","[1, 6000000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-5.631834030151367
"[1, 6000000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 1, 3, 0, 1, 1, 0]","[1, 6000000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",7.042316913604736
"[1, 6000000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 2, 1, 1, 1, 1, 0]","[1, 6000000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",7.948939323425293
"[1, 6000000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[3, 0, 0, 4, 1, 1, 0]","[1, 6000000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",11.300158500671387
"[1, 6000000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 1, 0, 0, 1, 1, 0]","[1, 6000000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-3.5907955169677734
"[1, 6000000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[4, 1, 2, 2, 1, 1, 0]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10.838920593261719
"[1, 2000000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 0, 2, 3, 0, 1, 0]","[1, 2000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-6.541509628295898
"[1, 2000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[4, 1, 1, 4, 0, 0, 0]","[1, 2000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-11.309718132019043
"[1, 2000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 0, 3, 0, 1, 1, 0]","[1, 2000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-6.6089911460876465
"[1, 2000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 2, 3, 1, 0, 0, 0]","[1, 2000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",1.0477012395858765
"[1, 2000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 0, 1, 4, 0, 0, 0]","[1, 2000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",6.967639923095703
"[1, 2000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 0, 0, 2, 0, 1, 0]","[1, 2000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-5.230160713195801
"[1, 2000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 1, 0, 1, 1, 0, 0]","[1, 3000000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-5.2304606437683105
"[1, 3000000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 2, 1, 3, 0, 0, 0]","[1, 3000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",11.423282623291016
"[1, 3000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[1, 0, 1, 3, 0, 0, 0]","[1, 3000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",5.497467041015625
"[1, 3000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 2, 2, 0, 1, 0, 0]","[1, 3000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-7.155538082122803
"[1, 3000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[4, 2, 2, 0, 1, 0, 0]","[1, 3000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-10.166407585144043
"[1, 3000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 1, 0]","[1, 3000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-2.3632965087890625
"[1, 3000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 1, 1, 4, 1, 1, 0]","[1, 3000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",8.864102363586426
